[1] AVG error: 2.53, STD error: 0.14
[8] AVG error: 2.48, STD error: 0.07
[16] AVG error: 2.45, STD error: 0.09
[24] AVG error: 2.43, STD error: 0.03
[31] AVG error: 2.46, STD error: 0.08
[39] AVG error: 2.43, STD error: 0.03
[47] AVG error: 2.44, STD error: 0.03
[55] AVG error: 2.43, STD error: 0.03
[62] AVG error: 2.42, STD error: 0.03
[70] AVG error: 2.41, STD error: 0.02
[78] AVG error: 2.42, STD error: 0.03
[86] AVG error: 2.42, STD error: 0.02
[93] AVG error: 2.41, STD error: 0.01
[101] AVG error: 2.41, STD error: 0.02
[109] AVG error: 2.42, STD error: 0.02
[117] AVG error: 2.41, STD error: 0.01
[124] AVG error: 2.42, STD error: 0.02
[132] AVG error: 2.41, STD error: 0.02
[140] AVG error: 2.41, STD error: 0.01
[148] AVG error: 2.41, STD error: 0.01
