Files,AVG error (m),STD error (m),Acc point (%),Acc room (%),Droped lines
training-synth--stdDev_1-PL0_40-n_4-wallLoss_2,6.23,3.90,6.13,57.30,0
training-synth--stdDev_1-PL0_40-n_4-wallLoss_3,5.38,3.34,6.90,65.10,0
training-synth--stdDev_1-PL0_40-n_4-wallLoss_5,4.07,2.56,10.31,79.17,0
training-synth--stdDev_1-PL0_40-n_4-wallLoss_7,3.54,2.23,13.31,87.39,0
training-synth--stdDev_1-PL0_40-n_5-wallLoss_2,3.41,2.17,12.67,82.02,0
training-synth--stdDev_1-PL0_40-n_5-wallLoss_3,3.22,2.03,13.72,83.01,0
training-synth--stdDev_1-PL0_40-n_5-wallLoss_5,3.07,1.96,15.86,83.93,0
training-synth--stdDev_1-PL0_40-n_5-wallLoss_7,3.08,2.02,16.97,81.81,0
training-synth--stdDev_1-PL0_40-n_6-wallLoss_2,3.23,2.11,14.86,71.48,0
training-synth--stdDev_1-PL0_40-n_6-wallLoss_3,3.26,2.13,15.79,70.64,0
training-synth--stdDev_1-PL0_40-n_6-wallLoss_5,3.32,2.11,15.47,69.99,0
training-synth--stdDev_1-PL0_40-n_6-wallLoss_7,3.48,2.11,13.25,64.33,0
training-synth--stdDev_1-PL0_50-n_4-wallLoss_2,3.13,2.09,15.12,84.78,0
training-synth--stdDev_1-PL0_50-n_4-wallLoss_3,2.94,1.96,16.67,87.54,0
training-synth--stdDev_1-PL0_50-n_4-wallLoss_5,2.88,1.92,18.09,86.23,0
training-synth--stdDev_1-PL0_50-n_4-wallLoss_7,3.02,1.96,17.06,80.81,0
training-synth--stdDev_1-PL0_50-n_5-wallLoss_2,3.20,2.01,13.96,72.62,0
training-synth--stdDev_1-PL0_50-n_5-wallLoss_3,3.18,2.09,16.39,73.02,0
training-synth--stdDev_1-PL0_50-n_5-wallLoss_5,3.37,2.09,14.35,68.89,0
training-synth--stdDev_1-PL0_50-n_5-wallLoss_7,3.54,2.13,12.63,63.29,0
training-synth--stdDev_1-PL0_50-n_6-wallLoss_2,3.70,2.01,9.08,59.31,0
training-synth--stdDev_1-PL0_50-n_6-wallLoss_3,3.72,2.06,9.46,56.38,0
training-synth--stdDev_1-PL0_50-n_6-wallLoss_5,3.82,2.10,7.98,53.47,0
training-synth--stdDev_1-PL0_50-n_6-wallLoss_7,4.10,2.27,6.76,48.28,0
training-synth--stdDev_1-PL0_60-n_4-wallLoss_2,3.11,1.98,15.36,76.13,0
training-synth--stdDev_1-PL0_60-n_4-wallLoss_3,3.20,2.02,15.06,74.03,0
training-synth--stdDev_1-PL0_60-n_4-wallLoss_5,3.43,2.07,13.17,68.86,0
training-synth--stdDev_1-PL0_60-n_4-wallLoss_7,3.56,2.12,12.18,63.38,0
training-synth--stdDev_1-PL0_60-n_5-wallLoss_2,3.71,2.11,10.71,59.83,0
training-synth--stdDev_1-PL0_60-n_5-wallLoss_3,3.74,2.12,9.83,57.66,0
training-synth--stdDev_1-PL0_60-n_5-wallLoss_5,3.98,2.21,7.32,49.89,0
training-synth--stdDev_1-PL0_60-n_5-wallLoss_7,4.11,2.31,7.08,48.67,0
training-synth--stdDev_1-PL0_60-n_6-wallLoss_2,4.02,2.27,8.10,47.54,0
training-synth--stdDev_1-PL0_60-n_6-wallLoss_3,4.00,2.22,7.69,47.04,0
training-synth--stdDev_1-PL0_60-n_6-wallLoss_5,4.03,2.11,6.10,46.24,0
training-synth--stdDev_1-PL0_60-n_6-wallLoss_7,4.03,2.12,6.56,46.42,0
training-synth--stdDev_2-PL0_40-n_4-wallLoss_2,6.31,3.99,5.47,57.30,0
training-synth--stdDev_2-PL0_40-n_4-wallLoss_3,5.42,3.31,6.37,65.21,0
training-synth--stdDev_2-PL0_40-n_4-wallLoss_5,4.04,2.55,11.02,81.14,0
training-synth--stdDev_2-PL0_40-n_4-wallLoss_7,3.54,2.19,12.48,87.43,0
training-synth--stdDev_2-PL0_40-n_5-wallLoss_2,3.40,2.15,13.16,82.27,0
training-synth--stdDev_2-PL0_40-n_5-wallLoss_3,3.20,2.02,13.59,83.91,0
