Files,AVG error (m),STD error (m),Acc point (%),Acc room (%),Droped lines
training-synth--stdDev_1-PL0_40-n_4-wallLoss_2,2.75,1.36,10.99,76.79,2
training-synth--stdDev_1-PL0_40-n_4-wallLoss_3,2.70,1.32,11.32,77.68,2
training-synth--stdDev_1-PL0_40-n_4-wallLoss_5,2.55,1.24,13.14,80.89,1
training-synth--stdDev_1-PL0_40-n_4-wallLoss_7,2.46,1.17,13.89,84.26,0
training-synth--stdDev_1-PL0_40-n_5-wallLoss_2,2.47,1.21,13.84,83.52,0
training-synth--stdDev_1-PL0_40-n_5-wallLoss_3,2.44,1.19,14.66,85.03,0
training-synth--stdDev_1-PL0_40-n_5-wallLoss_5,2.41,1.18,15.71,86.91,0
training-synth--stdDev_1-PL0_40-n_5-wallLoss_7,2.40,1.17,15.77,87.57,1
training-synth--stdDev_1-PL0_40-n_6-wallLoss_2,2.42,1.23,16.26,88.99,3
training-synth--stdDev_1-PL0_40-n_6-wallLoss_3,2.42,1.22,16.40,89.43,3
training-synth--stdDev_1-PL0_40-n_6-wallLoss_5,2.43,1.23,15.96,89.09,6
training-synth--stdDev_1-PL0_40-n_6-wallLoss_7,2.44,1.23,15.51,88.06,21
training-synth--stdDev_1-PL0_50-n_4-wallLoss_2,2.52,1.24,13.43,81.70,1
training-synth--stdDev_1-PL0_50-n_4-wallLoss_3,2.47,1.20,14.24,83.56,1
training-synth--stdDev_1-PL0_50-n_4-wallLoss_5,2.42,1.17,15.31,86.34,0
training-synth--stdDev_1-PL0_50-n_4-wallLoss_7,2.40,1.16,15.78,86.85,2
training-synth--stdDev_1-PL0_50-n_5-wallLoss_2,2.42,1.22,16.24,88.76,2
training-synth--stdDev_1-PL0_50-n_5-wallLoss_3,2.41,1.21,16.35,89.30,2
training-synth--stdDev_1-PL0_50-n_5-wallLoss_5,2.43,1.22,16.02,88.77,7
training-synth--stdDev_1-PL0_50-n_5-wallLoss_7,2.45,1.23,15.41,87.84,28
training-synth--stdDev_1-PL0_50-n_6-wallLoss_2,2.52,1.30,14.88,88.24,31
training-synth--stdDev_1-PL0_50-n_6-wallLoss_3,2.52,1.29,14.32,87.53,34
training-synth--stdDev_1-PL0_50-n_6-wallLoss_5,2.53,1.28,14.42,87.32,95
training-synth--stdDev_1-PL0_50-n_6-wallLoss_7,2.53,1.27,14.49,87.38,117
training-synth--stdDev_1-PL0_60-n_4-wallLoss_2,2.42,1.21,16.25,88.51,2
training-synth--stdDev_1-PL0_60-n_4-wallLoss_3,2.40,1.20,16.28,89.22,2
training-synth--stdDev_1-PL0_60-n_4-wallLoss_5,2.42,1.21,15.80,88.77,6
training-synth--stdDev_1-PL0_60-n_4-wallLoss_7,2.48,1.23,14.88,87.11,31
training-synth--stdDev_1-PL0_60-n_5-wallLoss_2,2.54,1.30,14.27,87.65,35
training-synth--stdDev_1-PL0_60-n_5-wallLoss_3,2.54,1.29,14.41,87.41,84
training-synth--stdDev_1-PL0_60-n_5-wallLoss_5,2.53,1.28,14.31,87.16,108
training-synth--stdDev_1-PL0_60-n_5-wallLoss_7,2.57,1.31,14.23,86.61,182
training-synth--stdDev_1-PL0_60-n_6-wallLoss_2,2.79,1.46,11.56,83.14,276
training-synth--stdDev_1-PL0_60-n_6-wallLoss_3,2.83,1.52,11.74,80.92,344
training-synth--stdDev_1-PL0_60-n_6-wallLoss_5,2.81,1.47,11.55,80.60,410
training-synth--stdDev_1-PL0_60-n_6-wallLoss_7,2.84,1.51,11.14,79.50,719
training-synth--stdDev_2-PL0_40-n_4-wallLoss_2,2.75,1.36,10.88,76.91,2
training-synth--stdDev_2-PL0_40-n_4-wallLoss_3,2.69,1.32,11.41,77.73,2
training-synth--stdDev_2-PL0_40-n_4-wallLoss_5,2.55,1.24,13.10,80.96,1
training-synth--stdDev_2-PL0_40-n_4-wallLoss_7,2.46,1.17,13.97,84.22,1
training-synth--stdDev_2-PL0_40-n_5-wallLoss_2,2.47,1.21,13.91,83.58,1
training-synth--stdDev_2-PL0_40-n_5-wallLoss_3,2.44,1.19,14.66,84.89,0
training-synth--stdDev_2-PL0_40-n_5-wallLoss_5,2.41,1.17,15.55,86.90,0
training-synth--stdDev_2-PL0_40-n_5-wallLoss_7,2.40,1.17,15.84,87.56,2
training-synth--stdDev_2-PL0_40-n_6-wallLoss_2,2.42,1.22,16.28,89.09,2
training-synth--stdDev_2-PL0_40-n_6-wallLoss_3,2.42,1.22,16.32,89.42,3
training-synth--stdDev_2-PL0_40-n_6-wallLoss_5,2.42,1.22,16.08,89.11,7
training-synth--stdDev_2-PL0_40-n_6-wallLoss_7,2.44,1.23,15.58,88.23,20
training-synth--stdDev_2-PL0_50-n_4-wallLoss_2,2.52,1.24,13.40,81.73,1
training-synth--stdDev_2-PL0_50-n_4-wallLoss_3,2.47,1.20,14.33,83.56,1
