Files,AVG error (m),STD error (m),Acc point (%),Acc room (%),Droped lines
training-synth--stdDev_1-PL0_40-n_4-wallLoss_2,4.12,1.99,5.94,49.07,0
training-synth--stdDev_1-PL0_40-n_4-wallLoss_3,3.54,1.80,8.11,60.01,0
training-synth--stdDev_1-PL0_40-n_4-wallLoss_5,3.02,1.62,11.67,74.41,0
training-synth--stdDev_1-PL0_40-n_4-wallLoss_7,2.82,1.53,13.11,79.58,0
training-synth--stdDev_1-PL0_40-n_5-wallLoss_2,2.95,1.61,13.47,80.01,0
training-synth--stdDev_1-PL0_40-n_5-wallLoss_3,2.89,1.59,13.83,81.19,0
training-synth--stdDev_1-PL0_40-n_5-wallLoss_5,2.79,1.56,15.27,82.93,0
training-synth--stdDev_1-PL0_40-n_5-wallLoss_7,2.74,1.54,15.17,83.99,0
training-synth--stdDev_1-PL0_40-n_6-wallLoss_2,2.89,1.64,15.13,82.81,0
training-synth--stdDev_1-PL0_40-n_6-wallLoss_3,2.88,1.63,14.65,83.52,0
training-synth--stdDev_1-PL0_40-n_6-wallLoss_5,2.88,1.64,14.38,83.56,0
training-synth--stdDev_1-PL0_40-n_6-wallLoss_7,2.88,1.64,14.67,83.28,0
training-synth--stdDev_1-PL0_50-n_4-wallLoss_2,2.82,1.54,14.00,81.69,0
training-synth--stdDev_1-PL0_50-n_4-wallLoss_3,2.76,1.51,14.28,83.14,0
training-synth--stdDev_1-PL0_50-n_4-wallLoss_5,2.69,1.49,15.34,84.15,0
training-synth--stdDev_1-PL0_50-n_4-wallLoss_7,2.66,1.48,15.19,84.44,0
training-synth--stdDev_1-PL0_50-n_5-wallLoss_2,2.84,1.56,15.28,83.71,0
training-synth--stdDev_1-PL0_50-n_5-wallLoss_3,2.82,1.55,14.91,84.35,0
training-synth--stdDev_1-PL0_50-n_5-wallLoss_5,2.83,1.54,13.60,83.97,0
training-synth--stdDev_1-PL0_50-n_5-wallLoss_7,2.84,1.55,13.68,83.07,0
training-synth--stdDev_1-PL0_50-n_6-wallLoss_2,3.03,1.68,13.76,78.35,0
training-synth--stdDev_1-PL0_50-n_6-wallLoss_3,3.02,1.67,14.23,79.05,0
training-synth--stdDev_1-PL0_50-n_6-wallLoss_5,2.97,1.67,15.45,80.84,0
training-synth--stdDev_1-PL0_50-n_6-wallLoss_7,2.96,1.69,15.47,81.24,0
training-synth--stdDev_1-PL0_60-n_4-wallLoss_2,2.85,1.57,15.58,83.04,0
